feature,ami_8class,nunique
bidirectional_max_ps,0.6065,1392
src2dst_min_ps,0.577,855
bidirectional_mean_ps,0.5712,6973
bidirectional_min_ps,0.5687,282
src2dst_max_ps,0.5565,1156
src2dst_mean_ps,0.5417,5490
packet_size_variation,0.5417,4551
src2dst_bytes,0.4888,5072
src2dst_packets,0.3867,20
bidirectional_stddev_ps,0.3707,8265
Rolling_packets_destination,0.3668,5047
Rolling_TCP_Requests_Destination,0.3362,351
Rolling_bipackets_destination,0.3361,5385
Rolling_SYN_Packets_Destination,0.3293,1045
Rolling_SYN_Packets_SourceDestination,0.323,1046
dst2src_min_ps,0.321,649
Rolling_ACK_Packets_Destination,0.3184,4764
Rolling_UDP_Requests_Destination,0.3126,351
dst2src_max_ps,0.3037,896
Rolling_ICMP_Requests_SourceDestination,0.3007,251
Rolling_ACK_Packets_SourceDestination,0.2955,4498
Rolling_Duration_Destination,0.2906,70671
Rolling_TCP_Requests_SourceDestination,0.285,351
proto_6,0.2841,2
proto_1,0.28,2
dst2src_mean_ps,0.2775,3262
Exp_0,0.2715,2
Exp_-1,0.2715,2
dst2src_packets,0.2702,20
Rolling_ICMP_Requests_Destination,0.263,214
Rolling_rst_Packets_SourceDestination,0.2626,471
dst2src_bytes,0.2625,3022
Rolling_rst_Packets_Destination,0.2567,483
Rolling_Duration_SourceDestination,0.251,67562
Rolling_UDP_Requests_SourceDestination,0.2481,351
proto_17,0.248,2
src2dst_syn_packets,0.2452,6
Rolling_psh_Packets_Destination,0.2343,2701
bidirectional_mean_piat_ms,0.232,10355
Rolling_psh_Packets_SourceDestination,0.2305,2658
dst2src_ack_packets,0.2286,20
Rolling_FIN_Packets_Destination,0.2212,607
src2dst_mean_piat_ms,0.2195,10724
src2dst_ack_packets,0.2144,21
src2dst_stddev_ps,0.2097,6149
Rolling_FIN_Packets_SourceDestination,0.2088,611
src2dst_stddev_piat_ms,0.2081,17394
dst2src_psh_packets,0.1995,20
bidirectional_stddev_piat_ms,0.1958,22386
src2dst_duration_ms,0.1916,4536
src2dst_psh_packets,0.1916,20
dst2src_duration_ms,0.1873,2881
dst2src_max_piat_ms,0.1865,1792
dst2src_mean_piat_ms,0.1839,5909
bidirectional_max_piat_ms,0.1779,3057
Unique_Ports_In_SourceDestinationIP,0.1764,350
src2dst_max_piat_ms,0.1634,2955
dst2src_stddev_ps,0.1616,3940
dst2src_stddev_piat_ms,0.156,10253
src2dst_min_piat_ms,0.1247,1825
bidirectional_min_piat_ms,0.1229,1642
src2dst_fin_packets,0.106,9
dst2src_fin_packets,0.1042,7
dst2src_syn_packets,0.1014,6
Rolling_vulnerable_port,0.095,351
Rolling_http_port_Destination,0.0926,351
dst2src_rst_packets,0.086,7
dst2src_min_piat_ms,0.0731,782
Rolling_http_port_SourceDestination,0.065,351
src2dst_rst_packets,0.0619,9
Rolling_DNS_request_Destination2,0.0456,344
Rolling_DNS_request_SourceDestination2,0.0451,335
Rolling_DNS_request_Destination,0.0306,334
Rolling_DNS_request_SourceDestination,0.0305,342
proto_58,0.0013,2
src2dst_cwr_packets,0.0004,3
src2dst_ece_packets,0.0004,3
dst2src_ece_packets,0.0003,2
proto_2,0.0003,2
dst2src_cwr_packets,0.0,2
src2dst_urg_packets,0.0,4
dst2src_urg_packets,0.0,2
