split,class,host,packets
train,Benign,connectivitycheck.gstatic.com,37
train,Benign,239.255.255.250:1900,36
train,Benign,spectrum.s3.amazonaws.com,8
train,Benign,mmechocaptiveportal.com,5
train,Benign,192.168.137.154,4
train,Benign,"""Sonos-48A6B8F91B88""",2
train,Benign,aic-ngfts.lge.com,2
train,Benign,d3p8zr0ffa9t17.cloudfront.net,2
train,WebBased,192.168.137.35:3000,3705
train,WebBased,api.met.no,2010
train,WebBased,192.168.137.86,580
train,WebBased,192.168.137.217,472
train,WebBased,192.168.137.236,407
train,WebBased,192.168.137.11,376
train,WebBased,192.168.137.13,357
train,WebBased,192.168.137.4,245
train,Spoofing,192.168.137.182,11
train,Spoofing,192.168.137.12,9
train,Spoofing,www.google.com,6
train,Spoofing,192.168.137.35,5
train,Spoofing,xyxupgrade.oss-cn-hongkong.aliyuncs.com,5
train,Spoofing,d3p8zr0ffa9t17.cloudfront.net,5
train,Spoofing,www.google.ca,4
train,Spoofing,spectrum.s3.amazonaws.com,2
train,Recon,api.met.no,1069
train,Recon,Netatmo-Welcome-g680e32.mshome.net,1
train,Recon,192.168.137.154,1
train,Recon,192.168.137.4,1
train,Recon,C200_441D90.mshome.net,1
train,Recon,00178860d64f.mshome.net,1
train,DDos,api.met.no,8
