split,class,request_line,packets
train,Benign,GET /heartbeat/device/AMC017CB462B892FAB,82
train,Benign,GET /p2p/stun/probe,62
train,Benign,HEAD /generate_204,37
train,Benign,GET /kindle-wifi/wifistub.html,8
train,Benign,GET /generate_204,5
train,Benign,POST /api,3
train,Benign,GET /fts/gftsDownload.lge?biz_code=CDP&func_code=SCHEDULE_FILE&file_pa,2
train,Benign,GET /HTTPConnTest.txt,2
train,Benign,GET /description.xml,1
train,Benign,HEAD /,1
train,WebBased,GET /weatherapi/locationforecast/1.9/?lat=52.25;lon=16.53,2010
train,WebBased,GET /hook.js?BEEFHOOK=NdjMXu8LLxZVlkE9qIDZ6nzt0gYTvCQmKvz1mpB1FkUKW9Av,1077
train,WebBased,GET /hook.js?BEEFHOOK=ZqVuv3ro8Jl7Xi6eKjlqWdy1mNHSHtdwp6R3oQHhLdxbiUbm,926
train,WebBased,GET /hook.js?BEEFHOOK=h1lLkVCfE1tHoY08xPX54N6qKCfR8PGxiKIKF2gT2TWrCgTs,769
train,WebBased,GET /dh?bh=h1lLkVCfE1tHoY08xPX54N6qKCfR8PGxiKIKF2gT2TWrCgTsk4ZTlvxPwM4,465
train,WebBased,POST /dvwa/hackable/uploads/backdoorNew.php?pwd=123456,374
train,WebBased,POST /dvwa/vulnerabilities/exec/,311
train,WebBased,GET /dh?bh=NdjMXu8LLxZVlkE9qIDZ6nzt0gYTvCQmKvz1mpB1FkUKW9AvOcsohZoJbUw,242
train,WebBased,GET /dh?bh=ZqVuv3ro8Jl7Xi6eKjlqWdy1mNHSHtdwp6R3oQHhLdxbiUbmxbtMiSS3xFo,142
train,WebBased,GET /dvwa/vulnerabilities/sqli/?id=2%27%20AND%20%28SELECT%209865%20FRO,133
train,WebBased,GET /dvwa/vulnerabilities/sqli/?id=3%27%20AND%20%28SELECT%204037%20FRO,122
train,WebBased,GET /dvwa/vulnerabilities/sqli/?id=1%27%20AND%20%28SELECT%205466%20FRO,116
train,WebBased,GET /dvwa/vulnerabilities/sqli/?id=1%27%20UNION%20ALL%20SELECT%20CONCA,96
train,WebBased,GET /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit,90
train,WebBased,GET /dvwa/vulnerabilities/sqli/?id=3%27%20UNION%20ALL%20SELECT%20CONCA,87
train,Spoofing,GET /p2p/stun/probe,22
train,Spoofing,GET /description.xml,11
train,Spoofing,GET /,8
train,Spoofing,HEAD /,5
train,Spoofing,GET http://xyxupgrade.oss-cn-hongkong.aliyuncs.com/40/KEY_VERSION,5
train,Spoofing,GET /HTTPConnTest.txt,5
train,Spoofing,GET /heartbeat/device/AMC017CB462B892FAB,4
train,Spoofing,GET /favicon.ico,4
train,Spoofing,GET /icons/openlogo-75.png,3
train,Spoofing,GET /kindle-wifi/wifistub.html,2
train,Spoofing,GET /util/query.cgi,2
train,Spoofing,HEAD /generate_204,2
train,Spoofing,GET /upnp/dev/e564f4ac-9de7-3a6e-91c4-66a5bad527e2/desc,2
train,Spoofing,GET /SDK/activateStatus,2
train,Spoofing,PUT /AYS-098611-PBLKR/dates/20221018,2
train,Recon,GET /weatherapi/locationforecast/1.9/?lat=52.25;lon=16.53,1069
train,Recon,GET /,6
train,Recon,GET /HNAP1,2
train,Recon,OPTIONS /,2
train,Recon,GET /description.xml,1
train,Recon,GET /evox/about,1
train,DDos,GET /weatherapi/locationforecast/1.9/?lat=52.25;lon=16.53,8
