split,class,column,share_eq_350,share_eq_0,median,nunique
train,Benign,Rolling_UDP_Requests_SourceDestination,0.334,0.512,0.0,351
train,Benign,Rolling_UDP_Requests_Destination,0.341,0.436,44.0,345
train,Benign,Rolling_TCP_Requests_SourceDestination,0.221,0.476,9.0,351
train,Benign,Rolling_TCP_Requests_Destination,0.275,0.402,36.0,351
train,Benign,Rolling_ACK_Packets_SourceDestination,0.0,0.48,46.0,3193
train,Benign,Rolling_ACK_Packets_Destination,0.0,0.458,311.0,3056
train,Benign,Rolling_FIN_Packets_SourceDestination,0.0,0.785,0.0,192
train,Benign,Rolling_FIN_Packets_Destination,0.0,0.703,0.0,223
train,Benign,Rolling_rst_Packets_SourceDestination,0.0,0.956,0.0,162
train,Benign,Rolling_rst_Packets_Destination,0.0,0.89,0.0,163
train,Benign,Rolling_psh_Packets_SourceDestination,0.0,0.49,6.0,1626
train,Benign,Rolling_psh_Packets_Destination,0.0,0.465,36.0,1730
train,Benign,Rolling_SYN_Packets_SourceDestination,0.0,0.785,0.0,305
train,Benign,Rolling_SYN_Packets_Destination,0.0,0.705,0.0,343
train,Benign,Unique_Ports_In_SourceDestinationIP,0.0,0.0,1.0,210
train,Benign,Rolling_ICMP_Requests_SourceDestination,0.003,0.965,0.0,199
train,Benign,Rolling_ICMP_Requests_Destination,0.0,0.878,0.0,164
train,Benign,Rolling_http_port_SourceDestination,0.099,0.764,0.0,350
train,Benign,Rolling_http_port_Destination,0.101,0.72,0.0,349
train,Benign,Rolling_Duration_Destination,0.0,0.013,419.58285714285716,18928
train,Benign,Rolling_Duration_SourceDestination,0.0,0.093,289.3384523809524,17436
train,Benign,Rolling_DNS_request_SourceDestination,0.037,0.923,0.0,273
train,Benign,Rolling_DNS_request_Destination,0.0,0.922,0.0,195
train,Benign,Rolling_DNS_request_SourceDestination2,0.004,0.988,0.0,118
train,Benign,Rolling_DNS_request_Destination2,0.0,0.922,0.0,213
train,Benign,Rolling_vulnerable_port,0.14,0.682,0.0,351
train,Benign,Rolling_packets_destination,0.015,0.0,695.0,3441
train,Benign,Rolling_bipackets_destination,0.009,0.0,994.0,3512
train,WebBased,Rolling_UDP_Requests_SourceDestination,0.088,0.719,0.0,338
train,WebBased,Rolling_UDP_Requests_Destination,0.0,0.52,0.0,319
train,WebBased,Rolling_TCP_Requests_SourceDestination,0.146,0.294,21.0,329
train,WebBased,Rolling_TCP_Requests_Destination,0.146,0.038,37.0,340
train,WebBased,Rolling_ACK_Packets_SourceDestination,0.0,0.294,180.5,1208
train,WebBased,Rolling_ACK_Packets_Destination,0.0,0.175,263.0,1398
train,WebBased,Rolling_FIN_Packets_SourceDestination,0.0,0.506,0.0,394
train,WebBased,Rolling_FIN_Packets_Destination,0.0,0.361,9.0,396
train,WebBased,Rolling_rst_Packets_SourceDestination,0.0,0.869,0.0,20
train,WebBased,Rolling_rst_Packets_Destination,0.0,0.785,0.0,20
train,WebBased,Rolling_psh_Packets_SourceDestination,0.0,0.314,55.0,679
train,WebBased,Rolling_psh_Packets_Destination,0.001,0.182,83.0,864
train,WebBased,Rolling_SYN_Packets_SourceDestination,0.0,0.555,0.0,381
train,WebBased,Rolling_SYN_Packets_Destination,0.0,0.397,9.0,387
train,WebBased,Unique_Ports_In_SourceDestinationIP,0.0,0.0,1.0,300
train,WebBased,Rolling_ICMP_Requests_SourceDestination,0.0,0.983,0.0,11
train,WebBased,Rolling_ICMP_Requests_Destination,0.0,0.836,0.0,22
train,WebBased,Rolling_http_port_SourceDestination,0.146,0.624,0.0,307
train,WebBased,Rolling_http_port_Destination,0.146,0.624,0.0,307
train,WebBased,Rolling_Duration_Destination,0.0,0.001,468.0903614457831,4227
train,WebBased,Rolling_Duration_SourceDestination,0.0,0.007,405.86,4185
train,WebBased,Rolling_DNS_request_SourceDestination,0.079,0.853,0.0,284
train,WebBased,Rolling_DNS_request_Destination,0.0,0.853,0.0,194
train,WebBased,Rolling_DNS_request_SourceDestination2,0.009,0.927,0.0,282
train,WebBased,Rolling_DNS_request_Destination2,0.0,0.852,0.0,277
train,WebBased,Rolling_vulnerable_port,0.225,0.47,6.0,342
train,WebBased,Rolling_packets_destination,0.001,0.0,427.0,1267
train,WebBased,Rolling_bipackets_destination,0.001,0.0,743.0,1589
train,Spoofing,Rolling_UDP_Requests_SourceDestination,0.614,0.215,350.0,348
train,Spoofing,Rolling_UDP_Requests_Destination,0.588,0.151,350.0,351
train,Spoofing,Rolling_TCP_Requests_SourceDestination,0.059,0.748,0.0,350
train,Spoofing,Rolling_TCP_Requests_Destination,0.057,0.659,0.0,351
train,Spoofing,Rolling_ACK_Packets_SourceDestination,0.006,0.764,0.0,1733
train,Spoofing,Rolling_ACK_Packets_Destination,0.0,0.667,0.0,2142
train,Spoofing,Rolling_FIN_Packets_SourceDestination,0.0,0.933,0.0,58
train,Spoofing,Rolling_FIN_Packets_Destination,0.0,0.847,0.0,78
train,Spoofing,Rolling_rst_Packets_SourceDestination,0.007,0.909,0.0,312
train,Spoofing,Rolling_rst_Packets_Destination,0.003,0.869,0.0,328
train,Spoofing,Rolling_psh_Packets_SourceDestination,0.0,0.801,0.0,1409
train,Spoofing,Rolling_psh_Packets_Destination,0.0,0.676,0.0,1592
train,Spoofing,Rolling_SYN_Packets_SourceDestination,0.006,0.85,0.0,312
train,Spoofing,Rolling_SYN_Packets_Destination,0.003,0.79,0.0,338
train,Spoofing,Unique_Ports_In_SourceDestinationIP,0.026,0.0,5.0,291
train,Spoofing,Rolling_ICMP_Requests_SourceDestination,0.0,0.94,0.0,111
train,Spoofing,Rolling_ICMP_Requests_Destination,0.0,0.892,0.0,131
train,Spoofing,Rolling_http_port_SourceDestination,0.038,0.837,0.0,345
train,Spoofing,Rolling_http_port_Destination,0.032,0.786,0.0,347
train,Spoofing,Rolling_Duration_Destination,0.0,0.08,126.77428571428571,12842
train,Spoofing,Rolling_Duration_SourceDestination,0.0,0.151,29.002857142857145,11728
train,Spoofing,Rolling_DNS_request_SourceDestination,0.007,0.946,0.0,217
train,Spoofing,Rolling_DNS_request_Destination,0.0,0.945,0.0,257
train,Spoofing,Rolling_DNS_request_SourceDestination2,0.211,0.775,0.0,215
train,Spoofing,Rolling_DNS_request_Destination2,0.17,0.741,0.0,223
train,Spoofing,Rolling_vulnerable_port,0.045,0.783,0.0,350
train,Spoofing,Rolling_packets_destination,0.248,0.0,396.0,3666
train,Spoofing,Rolling_bipackets_destination,0.078,0.0,700.0,3322
train,Recon,Rolling_UDP_Requests_SourceDestination,0.108,0.857,0.0,127
train,Recon,Rolling_UDP_Requests_Destination,0.001,0.779,0.0,293
train,Recon,Rolling_TCP_Requests_SourceDestination,0.71,0.117,350.0,351
train,Recon,Rolling_TCP_Requests_Destination,0.692,0.001,350.0,351
train,Recon,Rolling_ACK_Packets_SourceDestination,0.362,0.179,350.0,891
train,Recon,Rolling_ACK_Packets_Destination,0.368,0.092,350.0,1259
train,Recon,Rolling_FIN_Packets_SourceDestination,0.0,0.857,0.0,209
train,Recon,Rolling_FIN_Packets_Destination,0.0,0.748,0.0,271
train,Recon,Rolling_rst_Packets_SourceDestination,0.362,0.306,262.0,405
train,Recon,Rolling_rst_Packets_Destination,0.365,0.271,308.0,425
train,Recon,Rolling_psh_Packets_SourceDestination,0.0,0.836,0.0,558
train,Recon,Rolling_psh_Packets_Destination,0.0,0.661,0.0,756
train,Recon,Rolling_SYN_Packets_SourceDestination,0.424,0.135,350.0,500
train,Recon,Rolling_SYN_Packets_Destination,0.282,0.065,350.0,524
train,Recon,Unique_Ports_In_SourceDestinationIP,0.155,0.0,158.5,350
train,Recon,Rolling_ICMP_Requests_SourceDestination,0.0,0.969,0.0,31
train,Recon,Rolling_ICMP_Requests_Destination,0.0,0.877,0.0,102
train,Recon,Rolling_http_port_SourceDestination,0.1,0.672,0.0,154
train,Recon,Rolling_http_port_Destination,0.1,0.669,0.0,151
train,Recon,Rolling_Duration_Destination,0.0,0.05,100.74857142857144,16846
train,Recon,Rolling_Duration_SourceDestination,0.0,0.063,68.28714285714287,16624
train,Recon,Rolling_DNS_request_SourceDestination,0.052,0.79,0.0,42
train,Recon,Rolling_DNS_request_Destination,0.0,0.791,0.0,117
train,Recon,Rolling_DNS_request_SourceDestination2,0.056,0.878,0.0,93
train,Recon,Rolling_DNS_request_Destination2,0.0,0.857,0.0,243
